bin_index,lo,hi,D_upper_ball,D_upper_float,proved,nodes,ambiguous_cells,positive_cells,negative_cells,speed_roots,rhs_adjusted,M2
146,0.675,0.6875,[2.065640000513886206439157510341256884288345148 +/- 7.51e-46],2.0656400005138864,True,1341,50,227,419,25,22,[176.947809201888315180086268214 +/- 4.21e-28]
147,0.6875,0.7000000000000002,[2.058726767489488985984243011732575465046461381 +/- 7.47e-46],2.058726767489489,True,1331,50,231,410,25,22,[178.647495844781171009195283722 +/- 1.63e-28]
148,0.7000000000000002,0.7125000000000001,[2.051977827670198547963338600025307386980527050 +/- 7.88e-46],2.0519778276701985,True,1327,50,233,406,25,22,[180.731606429231942075642905365 +/- 4.95e-28]
149,0.7125000000000001,0.7250000000000001,[2.045387331291130780095532243758273162097321423 +/- 7.29e-46],2.045387331291131,True,1335,50,231,412,25,22,[184.125936332266753541098065070 +/- 2.40e-28]
150,0.7250000000000001,0.7375,[2.038950352666663195160879850791868501693764721 +/- 7.28e-46],2.0389503526666632,True,1331,50,227,414,25,22,[189.634106399330620242129621535 +/- 2.08e-28]
151,0.7375,0.75,[2.032464278901925661115833304998474197694070360 +/- 6.69e-46],2.0324642789019256,True,1311,50,221,410,25,23,[191.792794876803444955418477324 +/- 3.07e-28]
152,0.75,0.7625000000000002,[2.025618103624765798599018836588170021643135640 +/- 4.52e-46],2.025618103624766,True,1287,50,214,405,25,23,[191.725960650271657466611812654 +/- 1.39e-28]
153,0.7625000000000002,0.7750000000000001,[2.018832241833333603490300944353873331493131927 +/- 8.54e-46],2.0188322418333335,True,1367,50,226,433,25,23,[187.477195651379788033970767301 +/- 4.04e-28]
154,0.7750000000000001,0.7875000000000001,[2.012179434816595813624918572346564123144989772 +/- 5.06e-46],2.012179434816596,True,1397,50,228,446,25,22,[181.574872532419668021564678608 +/- 1.82e-28]
155,0.7875000000000001,0.8,[2.00565923154919258042498981420653744807267548 +/- 3.02e-45],2.005659231549193,True,1559,50,250,505,25,22,[165.991659693904928285929952707 +/- 2.09e-28]
156,0.8,0.8125,[1.996544507589274954760538390129986716000233191 +/- 3.92e-46],1.996544507589275,True,1451,55,427,264,20,14,[1012.13333126496605014907109201 +/- 5.44e-28]
157,0.8125,0.8250000000000002,[1.966527882402710215065503735574969784136755235 +/- 4.57e-46],1.9665278824027101,True,764,34,231,133,16,12,[432.397634038936904420420123437 +/- 1.42e-28]
